Gem,last14,Gesamtfallzahlen
Attendorn,33,1147
Drolshagen,17,556
Finnentrop,13,795
Kirchhundem,12,511
Lennestadt,14,1296
Olpe,36,1367
Wenden,19,859
Gesamt,144,6531
