Gem,last14,Gesamtfallzahlen
Attendorn,55,1328
Drolshagen,70,681
Finnentrop,53,959
Kirchhundem,10,551
Lennestadt,56,1424
Olpe,108,1626
Wenden,42,1030
Gesamt,394,7599
