Gem,last14,Gesamtfallzahlen
Attendorn,4,1025
Drolshagen,1,517
Finnentrop,5,727
Kirchhundem,3,455
Lennestadt,3,1197
Olpe,5,1182
Wenden,5,780
Gesamt,26,5883
