Gem,last14,Gesamtfallzahlen
Attendorn,85,1582
Drolshagen,36,882
Finnentrop,46,1084
Kirchhundem,29,642
Lennestadt,75,1629
Olpe,140,2024
Wenden,90,1311
Gesamt,501,9154
