Gem,last14,Gesamtfallzahlen
Attendorn,6,1024
Drolshagen,1,516
Finnentrop,0,722
Kirchhundem,0,452
Lennestadt,3,1194
Olpe,5,1177
Wenden,3,775
Gesamt,18,5860
