Gem,last14,Gesamtfallzahlen
Attendorn,56,1547
Drolshagen,23,866
Finnentrop,21,1055
Kirchhundem,22,633
Lennestadt,41,1590
Olpe,87,1961
Wenden,57,1269
Gesamt,307,8921
