Gem,last14,Gesamtfallzahlen
Attendorn,38,1089
Drolshagen,9,528
Finnentrop,28,769
Kirchhundem,30,487
Lennestadt,59,1272
Olpe,81,1301
Wenden,28,820
Gesamt,273,6266
