Gem,last14,Gesamtfallzahlen
Attendorn,35,1082
Drolshagen,7,526
Finnentrop,22,761
Kirchhundem,18,474
Lennestadt,62,1268
Olpe,66,1280
Wenden,18,810
Gesamt,228,6201
