Gem,last14,Gesamtfallzahlen
Attendorn,36,1146
Drolshagen,17,556
Finnentrop,13,795
Kirchhundem,12,510
Lennestadt,14,1295
Olpe,33,1362
Wenden,17,857
Gesamt,142,6521
