Gem,last14,Gesamtfallzahlen
Attendorn,84,1412
Drolshagen,109,790
Finnentrop,48,1007
Kirchhundem,33,584
Lennestadt,73,1497
Olpe,114,1740
Wenden,86,1116
Gesamt,547,8146
