Gem,last14,Gesamtfallzahlen
Attendorn,0,1018
Drolshagen,1,515
Finnentrop,0,719
Kirchhundem,1,451
Lennestadt,4,1191
Olpe,15,1172
Wenden,2,772
Gesamt,23,5838
