Gem,last14,Gesamtfallzahlen
Attendorn,40,1521
Drolshagen,23,860
Finnentrop,23,1049
Kirchhundem,13,622
Lennestadt,22,1565
Olpe,63,1920
Wenden,34,1238
Gesamt,218,8775
