Gem,last14,Gesamtfallzahlen
Attendorn,77,1267
Drolshagen,31,602
Finnentrop,59,899
Kirchhundem,4,540
Lennestadt,36,1362
Olpe,53,1502
Wenden,71,984
Gesamt,331,7156
