Gem,last14,Gesamtfallzahlen
Attendorn,44,1496
Drolshagen,28,846
Finnentrop,27,1038
Kirchhundem,13,612
Lennestadt,31,1552
Olpe,89,1881
Wenden,73,1220
Gesamt,305,8645
