Gem,last14,Gesamtfallzahlen
Attendorn,88,1596
Drolshagen,44,895
Finnentrop,50,1090
Kirchhundem,31,644
Lennestadt,81,1639
Olpe,143,2040
Wenden,96,1320
Gesamt,533,9224
