Gem,last14,Gesamtfallzahlen
Attendorn,3,1018
Drolshagen,1,515
Finnentrop,1,719
Kirchhundem,1,451
Lennestadt,7,1191
Olpe,24,1171
Wenden,2,772
Gesamt,39,5837
