Gem,last14,Gesamtfallzahlen
Attendorn,7,1018
Drolshagen,2,514
Finnentrop,4,719
Kirchhundem,0,450
Lennestadt,9,1189
Olpe,21,1159
Wenden,1,770
Gesamt,44,5819
