Gem,last14,Gesamtfallzahlen
Attendorn,41,1508
Drolshagen,25,851
Finnentrop,25,1040
Kirchhundem,8,613
Lennestadt,24,1558
Olpe,92,1897
Wenden,48,1224
Gesamt,263,8691
