Gem,last14,Gesamtfallzahlen
Attendorn,39,1299
Drolshagen,56,653
Finnentrop,52,950
Kirchhundem,8,548
Lennestadt,46,1404
Olpe,93,1591
Wenden,41,1016
Gesamt,335,7461
