Gem,last14,Gesamtfallzahlen
Attendorn,64,1245
Drolshagen,20,588
Finnentrop,66,891
Kirchhundem,3,539
Lennestadt,33,1357
Olpe,52,1487
Wenden,74,969
Gesamt,312,7076
