Gem,last14,Gesamtfallzahlen
Attendorn,0,1018
Drolshagen,1,515
Finnentrop,2,721
Kirchhundem,1,452
Lennestadt,0,1191
Olpe,4,1172
Wenden,2,772
Gesamt,10,5841
