Gem,last14,Gesamtfallzahlen
Attendorn,42,1520
Drolshagen,26,860
Finnentrop,23,1047
Kirchhundem,12,621
Lennestadt,26,1565
Olpe,72,1916
Wenden,39,1235
Gesamt,240,8764
