Gem,last14,Gesamtfallzahlen
Attendorn,54,1229
Drolshagen,21,585
Finnentrop,62,882
Kirchhundem,2,537
Lennestadt,28,1348
Olpe,40,1475
Wenden,70,960
Gesamt,277,7016
