Gem,last14,Gesamtfallzahlen
Attendorn,69,1277
Drolshagen,38,617
Finnentrop,37,906
Kirchhundem,6,542
Lennestadt,29,1370
Olpe,66,1528
Wenden,40,988
Gesamt,285,7228
