Gem,last14,Gesamtfallzahlen
Attendorn,6,1024
Drolshagen,2,517
Finnentrop,2,724
Kirchhundem,0,452
Lennestadt,3,1194
Olpe,5,1177
Wenden,3,775
Gesamt,21,5863
