Gem,last14,Gesamtfallzahlen
Attendorn,64,1344
Drolshagen,93,713
Finnentrop,69,977
Kirchhundem,13,556
Lennestadt,55,1433
Olpe,103,1646
Wenden,56,1047
Gesamt,453,7716
