Gem,last14,Gesamtfallzahlen
Attendorn,17,1046
Drolshagen,2,519
Finnentrop,11,738
Kirchhundem,1,456
Lennestadt,8,1205
Olpe,22,1204
Wenden,4,783
Gesamt,65,5951
