Gem,last14,Gesamtfallzahlen
Attendorn,39,1497
Drolshagen,25,846
Finnentrop,23,1038
Kirchhundem,11,613
Lennestadt,26,1554
Olpe,83,1884
Wenden,55,1221
Gesamt,262,8653
