Gem,last14,Gesamtfallzahlen
Attendorn,12,1040
Drolshagen,0,517
Finnentrop,10,734
Kirchhundem,1,456
Lennestadt,4,1200
Olpe,13,1195
Wenden,5,782
Gesamt,45,5924
