Gem,last14,Gesamtfallzahlen
Attendorn,2,1024
Drolshagen,2,517
Finnentrop,2,724
Kirchhundem,2,454
Lennestadt,4,1195
Olpe,7,1179
Wenden,4,776
Gesamt,23,5869
