Gem,last14,Gesamtfallzahlen
Attendorn,36,1303
Drolshagen,56,658
Finnentrop,52,951
Kirchhundem,9,549
Lennestadt,49,1411
Olpe,97,1599
Wenden,38,1022
Gesamt,337,7493
