Gemeinde,last14,Gesamtfallzahlen
Attendorn,31,1012
Drolshagen,27,513
Finnentrop,16,716
Kirchhundem,7,450
Lennestadt,29,1180
Olpe,25,1139
Wenden,10,769
Gesamt,145,5779
