Gem,last14,Gesamtfallzahlen
Attendorn,19,1051
Drolshagen,2,519
Finnentrop,14,741
Kirchhundem,1,456
Lennestadt,14,1212
Olpe,33,1215
Wenden,11,792
Gesamt,94,5986
