Gem,last14,Gesamtfallzahlen
Attendorn,3,1025
Drolshagen,1,517
Finnentrop,5,727
Kirchhundem,3,455
Lennestadt,4,1197
Olpe,5,1182
Wenden,5,779
Gesamt,26,5882
