Gem,last14,Gesamtfallzahlen
Attendorn,23,1056
Drolshagen,2,519
Finnentrop,13,741
Kirchhundem,3,459
Lennestadt,24,1223
Olpe,41,1228
Wenden,14,795
Gesamt,120,6021
