Gem,last14,Gesamtfallzahlen
Attendorn,69,1481
Drolshagen,47,837
Finnentrop,19,1026
Kirchhundem,25,609
Lennestadt,46,1543
Olpe,117,1857
Wenden,88,1204
Gesamt,411,8557
