Gem,last14,Gesamtfallzahlen
Attendorn,33,1133
Drolshagen,21,556
Finnentrop,18,794
Kirchhundem,13,508
Lennestadt,12,1292
Olpe,39,1355
Wenden,24,853
Gesamt,160,6491
