Gem,last14,Gesamtfallzahlen
Attendorn,24,1056
Drolshagen,3,520
Finnentrop,9,741
Kirchhundem,6,462
Lennestadt,25,1224
Olpe,43,1232
Wenden,14,795
Gesamt,124,6030
