Gem,last14,Gesamtfallzahlen
Attendorn,37,1110
Drolshagen,15,539
Finnentrop,24,782
Kirchhundem,26,498
Lennestadt,21,1281
Olpe,68,1329
Wenden,36,840
Gesamt,227,6379
