Gemeinde,last14,Gesamtfallzahlen
Attendorn,17,1015
Drolshagen,10,514
Finnentrop,9,718
Kirchhundem,3,450
Lennestadt,25,1184
Olpe,18,1147
Wenden,2,770
Gesamt,84,5798
