Gem,last14,Gesamtfallzahlen
Attendorn,22,1194
Drolshagen,11,574
Finnentrop,40,854
Kirchhundem,4,536
Lennestadt,11,1328
Olpe,29,1451
Wenden,41,921
Gesamt,158,6858
