Gemeinde,last14,Gesamtfallzahlen
Attendorn,18,1016
Drolshagen,10,514
Finnentrop,9,718
Kirchhundem,3,450
Lennestadt,25,1184
Olpe,20,1149
Wenden,2,770
Gesamt,87,5801
