Gem,last14,Gesamtfallzahlen
Attendorn,61,1487
Drolshagen,47,839
Finnentrop,19,1029
Kirchhundem,23,610
Lennestadt,47,1547
Olpe,117,1866
Wenden,85,1207
Gesamt,399,8585
