Gemeinde,last14,Gesamtfallzahlen
Attendorn,23,1014
Drolshagen,10,514
Finnentrop,11,718
Kirchhundem,3,450
Lennestadt,25,1183
Olpe,24,1147
Wenden,5,770
Gesamt,101,5796
