Gem,last14,Gesamtfallzahlen
Attendorn,5,1023
Drolshagen,1,516
Finnentrop,1,722
Kirchhundem,0,452
Lennestadt,2,1193
Olpe,2,1174
Wenden,2,774
Gesamt,13,5854
