Gem,last14,Gesamtfallzahlen
Attendorn,6,1018
Drolshagen,2,514
Finnentrop,3,719
Kirchhundem,0,450
Lennestadt,9,1189
Olpe,23,1161
Wenden,1,770
Gesamt,44,5821
