Gemeinde,last14,Gesamtfallzahlen
Attendorn,23,1014
Drolshagen,14,514
Finnentrop,12,718
Kirchhundem,3,450
Lennestadt,25,1183
Olpe,24,1147
Wenden,6,770
Gesamt,107,5796
