Gem,last14,Gesamtfallzahlen
Attendorn,2,1025
Drolshagen,1,517
Finnentrop,4,726
Kirchhundem,3,455
Lennestadt,4,1197
Olpe,8,1182
Wenden,5,779
Gesamt,27,5881
