Gem,last14,Gesamtfallzahlen
Attendorn,4,1022
Drolshagen,0,515
Finnentrop,2,722
Kirchhundem,0,452
Lennestadt,0,1191
Olpe,1,1173
Wenden,0,772
Gesamt,7,5847
