Gem,last14,Gesamtfallzahlen
Attendorn,63,1280
Drolshagen,37,620
Finnentrop,36,908
Kirchhundem,7,543
Lennestadt,34,1378
Olpe,75,1543
Wenden,36,991
Gesamt,288,7263
