Gem,last14,Gesamtfallzahlen
Attendorn,74,1268
Drolshagen,32,606
Finnentrop,47,901
Kirchhundem,4,540
Lennestadt,37,1365
Olpe,56,1507
Wenden,64,985
Gesamt,314,7172
