Gem,last14,Gesamtfallzahlen
Attendorn,35,1124
Drolshagen,25,553
Finnentrop,21,790
Kirchhundem,16,503
Lennestadt,16,1288
Olpe,48,1349
Wenden,24,844
Gesamt,185,6451
