Gem,last14,Gesamtfallzahlen
Attendorn,0,1018
Drolshagen,1,515
Finnentrop,1,720
Kirchhundem,2,452
Lennestadt,2,1191
Olpe,13,1172
Wenden,2,772
Gesamt,21,5840
