Gem,last14,Gesamtfallzahlen
Attendorn,15,1041
Drolshagen,0,517
Finnentrop,11,736
Kirchhundem,1,456
Lennestadt,6,1202
Olpe,17,1199
Wenden,4,782
Gesamt,54,5933
