Gem,last14,Gesamtfallzahlen
Attendorn,18,1170
Drolshagen,4,563
Finnentrop,18,813
Kirchhundem,20,532
Lennestadt,18,1316
Olpe,54,1421
Wenden,19,879
Gesamt,151,6694
