Gem,last14,Gesamtfallzahlen
Attendorn,42,1217
Drolshagen,19,583
Finnentrop,54,872
Kirchhundem,2,536
Lennestadt,25,1344
Olpe,36,1468
Wenden,68,955
Gesamt,246,6975
