Gem,last14,Gesamtfallzahlen
Attendorn,39,1100
Drolshagen,15,535
Finnentrop,32,776
Kirchhundem,31,495
Lennestadt,46,1280
Olpe,81,1316
Wenden,29,829
Gesamt,273,6331
