Gemeinde,last14,Gesamtfallzahlen
Attendorn,18,1015
Drolshagen,10,514
Finnentrop,10,718
Kirchhundem,3,450
Lennestadt,25,1184
Olpe,19,1147
Wenden,4,770
Gesamt,89,5798
