Gem,last14,Gesamtfallzahlen
Attendorn,8,1027
Drolshagen,0,517
Finnentrop,3,727
Kirchhundem,4,456
Lennestadt,5,1199
Olpe,7,1184
Wenden,6,781
Gesamt,33,5891
