Gem,last14,Gesamtfallzahlen
Attendorn,4,1018
Drolshagen,1,515
Finnentrop,1,719
Kirchhundem,1,451
Lennestadt,8,1191
Olpe,24,1171
Wenden,2,772
Gesamt,41,5837
