Gem,last14,Gesamtfallzahlen
Attendorn,89,1426
Drolshagen,97,792
Finnentrop,45,1010
Kirchhundem,32,587
Lennestadt,69,1500
Olpe,111,1749
Wenden,86,1122
Gesamt,529,8186
