,12_01_2021,11_30_2021
Altenberge,497,493
Emsdetten,1923,1901
Greven,2115,2098
Hopsten,417,415
Hörstel,1060,1048
Horstmar,331,327
Ibbenbüren,2750,2728
Ladbergen,270,267
Laer,279,276
Lengerich,1752,1738
Lienen,421,415
Lotte,912,897
Metelen,364,354
Mettingen,675,673
Neuenkirchen,745,740
Nordwalde,565,561
Ochtrup,1229,1219
Recke,654,647
Rheine,4525,4491
Saerbeck,252,252
Steinfurt,1874,1842
Tecklenburg,367,366
Westerkappeln,541,533
Wettringen,447,431
