,12_29_2021,12_28_2021
Altenberge,590,589
Emsdetten,2190,2183
Greven,2359,2349
Hopsten,477,476
Hörstel,1242,1237
Horstmar,368,368
Ibbenbüren,3291,3272
Ladbergen,297,297
Laer,338,336
Lengerich,1997,1989
Lienen,522,519
Lotte,1057,1050
Metelen,394,394
Mettingen,760,759
Neuenkirchen,886,882
Nordwalde,702,694
Ochtrup,1369,1367
Recke,755,753
Rheine,5221,5172
Saerbeck,296,293
Steinfurt,2242,2222
Tecklenburg,401,401
Westerkappeln,625,623
Wettringen,616,618
