,02_03_2022,02_02_2022
Altenberge,852,832
Emsdetten,3255,3201
Greven,3704,3603
Hopsten,678,667
Hörstel,1991,1953
Horstmar,522,512
Ibbenbüren,5117,5005
Ladbergen,478,467
Laer,519,511
Lengerich,2994,2912
Lienen,894,864
Lotte,1699,1669
Metelen,575,564
Mettingen,1285,1254
Neuenkirchen,1477,1449
Nordwalde,1034,1011
Ochtrup,2408,2309
Recke,1122,1095
Rheine,8385,8214
Saerbeck,637,618
Steinfurt,3435,3356
Tecklenburg,648,635
Westerkappeln,1057,1028
Wettringen,1011,980
